id,lang,complexity,mode,top_k,gc,cost,refusal,lat_orch_ms,lat_llm_ms,lat_total_ms,input_tokens,output_tokens,answer_length,num_citations
en_maori_language_q1,en,simple,fairness_aware,5,1.0,0.0032040000000000003,False,118.90101432800293,2762.0627880096436,2880.9638023376465,818,50,185,1
en_matariki_q1,en,simple,fairness_aware,5,1.0,0.0045179999999999994,False,134.19508934020996,3435.9230995178223,3570.118188858032,1171,67,231,2
en_marae_q1,en,simple,fairness_aware,5,1.0,0.005489999999999999,False,130.31911849975586,3678.183078765869,3808.502197265625,1310,104,444,1
en_mount_tongariro_q1,en,simple,fairness_aware,5,1.0,0.003654,False,95.64375877380371,2968.9693450927734,3064.613103866577,868,70,241,1
en_moa_q1,en,simple,fairness_aware,5,1.0,0.004305,False,104.02798652648926,4311.169147491455,4415.197134017944,1000,87,304,1
en_kaka_q1,en,simple,fairness_aware,5,1.0,0.0028590000000000004,False,118.35217475891113,2364.471912384033,2482.8240871429443,813,28,83,1
en_kakapo_q1,en,simple,fairness_aware,5,1.0,0.0037860000000000003,False,98.03605079650879,5295.714855194092,5393.750905990601,952,62,221,1
en_muturangi_q1,en,simple,fairness_aware,5,1.0,0.004491,False,123.25906753540039,4025.6261825561523,4148.885250091553,982,103,321,1
en_taupo_q1,en,simple,fairness_aware,5,1.0,0.0041670000000000006,False,97.76020050048828,4736.93585395813,4834.696054458618,934,91,330,2
en_new_zealand_q1,en,simple,fairness_aware,5,1.0,0.0027630000000000003,False,109.98725891113281,2524.890184402466,2634.8774433135986,791,26,108,1
en_kea_q1,en,complex,fairness_aware,8,1.0,0.003978000000000001,False,136.0340118408203,4111.763954162598,4247.797966003418,901,85,375,1
en_agathis_australis_q1,en,complex,fairness_aware,8,1.0,0.0043560000000000005,False,143.06116104125977,3918.48087310791,4061.54203414917,992,92,402,1
en_treaty_of_waitangi_q1,en,complex,fairness_aware,8,1.0,0.005514000000000001,False,262.75110244750977,4482.771158218384,4745.522260665894,1123,143,656,1
en_united_states_q1,en,complex,fairness_aware,8,1.0,0.0036509999999999997,False,124.45306777954102,3411.0772609710693,3535.5303287506104,842,75,318,1
en_north_america_q1,en,complex,fairness_aware,8,1.0,0.004338,False,165.50683975219727,3483.4070205688477,3648.913860321045,856,118,435,1
